








9	125	-120.17524719238281



































44	126	-120.22929382324219



























71	126	-121.64539337158203

72	125	-122.02307891845703
72	126	-120.823974609375

73	125	-122.00408172607422
73	126	-120.08321380615234

74	125	-121.31788635253906

75	125	-120.11534881591797



78	247	-120.82601928710938


80	63	-120.87226867675781
80	64	-120.71570587158203

81	63	-121.38228607177734
81	64	-122.11431121826172
81	65	-120.46723175048828

82	63	-120.86951446533203
82	64	-120.62428283691406
82	65	-120.0434341430664

83	63	-120.53717803955078
83	123	-120.80463409423828

84	63	-120.28807830810547
84	65	-120.70953369140625
84	122	-120.4678955078125
84	123	-121.5398941040039

85	122	-120.59815979003906
85	123	-121.87251281738281

86	122	-120.2168960571289
86	123	-121.51233673095703

87	65	-120.16141510009766
87	123	-121.6353530883789
87	250	-120.1061019897461
87	251	-120.58340454101562

88	63	-120.82156372070312
88	123	-122.89813232421875
88	126	-120.59673309326172
88	250	-120.8649673461914
88	251	-121.46636962890625

89	67	-120.20056915283203
89	68	-120.11304473876953
89	123	-123.00960540771484
89	124	-120.07699584960938
89	192	-120.54353332519531
89	250	-120.0617446899414

90	123	-121.48748779296875

91	63	-121.87979125976562

92	63	-120.95621490478516
92	250	-120.46009063720703

93	12	-121.86347198486328
93	13	-121.32746887207031
93	14	-120.83357238769531
93	15	-120.54869079589844
93	18	-121.95613098144531
93	19	-121.57776641845703
93	63	-120.89474487304688
93	250	-120.6758041381836

94	18	-120.04766845703125
94	19	-120.8106918334961
94	62	-120.86031341552734
94	63	-123.32659149169922
94	64	-123.56293487548828
94	250	-120.06648254394531

95	21	-122.68677520751953
95	22	-120.29072570800781
95	62	-120.82876586914062
95	63	-122.30108642578125
95	64	-122.4792709350586

96	61	-122.0320816040039
96	63	-122.30106353759766
96	64	-124.66333770751953

97	23	-120.70504760742188
97	60	-123.05387878417969
97	61	-124.76139831542969
97	62	-121.89398956298828
97	63	-123.79198455810547
